iter	Passed	Remaining
0	48	48022
1	48	24158
2	48	16185
3	48	12197
4	49	9796
5	49	8200
6	49	7054
7	49	6194
8	50	5523
9	50	4988
10	50	4552
11	50	4188
12	51	3882
13	51	3617
14	51	3388
15	51	3185
16	52	3009
17	52	2852
18	52	2711
19	52	2584
20	52	2469
21	53	2364
22	53	2269
23	53	2181
24	53	2102
25	54	2028
26	54	1959
27	54	1894
28	54	1834
29	54	1778
30	55	1725
31	55	1677
32	55	1631
33	55	1588
34	56	1547
35	56	1508
36	56	1472
37	56	1437
38	57	1405
39	57	1374
40	57	1344
41	57	1315
42	57	1288
43	58	1262
44	58	1237
45	58	1213
46	58	1191
47	59	1170
48	59	1150
49	59	1130
50	59	1111
51	59	1092
52	60	1075
53	60	1058
54	60	1042
55	60	1026
56	61	1010
57	61	996
58	61	981
59	61	967
60	61	954
61	62	941
62	62	928
63	62	916
64	62	905
65	63	894
66	63	883
67	63	871
68	63	860
69	64	850
70	64	840
71	64	831
72	64	821
73	64	812
74	65	803
75	65	794
76	65	786
77	65	777
78	66	769
79	66	761
80	66	753
81	66	746
82	66	738
83	67	731
84	67	723
85	67	716
86	67	709
87	67	703
88	68	697
89	68	691
90	68	684
91	68	678
92	69	673
93	69	667
94	69	662
95	69	656
96	69	651
97	70	645
98	70	640
99	70	635
100	70	630
101	70	624
102	71	619
103	71	615
104	71	610
105	71	606
106	72	601
107	72	597
108	72	593
109	72	588
110	72	584
111	73	580
112	73	576
113	73	572
114	73	568
115	74	564
116	74	560
117	74	556
118	74	553
119	74	549
120	75	545
121	75	542
122	75	537
123	75	534
124	75	531
125	76	527
126	76	524
127	76	520
128	76	517
129	76	514
130	77	511
131	77	508
132	77	505
133	77	502
134	77	499
135	78	496
136	78	494
137	78	491
138	78	488
139	79	485
140	79	482
141	79	480
142	79	477
143	79	474
144	80	472
145	80	469
146	80	467
147	80	464
148	80	462
149	81	460
150	81	457
151	81	455
152	81	453
153	82	450
154	82	448
155	82	446
156	82	444
157	82	442
158	83	440
159	83	437
160	83	435
161	83	433
162	84	431
163	84	429
164	84	427
165	84	425
166	84	423
167	85	421
168	85	419
169	85	417
170	85	415
171	85	413
172	86	411
173	86	410
174	86	408
175	86	406
176	87	404
177	87	403
178	87	401
179	87	399
180	87	397
181	88	395
182	88	394
183	88	392
184	88	390
185	88	389
186	89	387
187	89	386
188	89	384
189	89	382
190	90	381
191	90	380
192	90	378
193	90	377
194	90	375
195	91	374
196	91	372
197	91	371
198	91	369
199	92	368
200	92	366
201	92	365
202	92	364
203	93	362
204	93	361
205	93	360
206	93	358
207	93	357
208	94	356
209	94	354
210	94	353
211	94	352
212	94	350
213	95	349
214	95	348
215	95	347
216	95	346
217	96	344
218	96	343
219	96	342
220	96	341
221	96	339
222	97	338
223	97	337
224	97	336
225	97	335
226	98	334
227	98	332
228	98	331
229	98	330
230	98	329
231	99	328
232	99	327
233	99	326
234	99	325
235	100	324
236	100	323
237	100	322
238	100	321
239	101	320
240	101	319
241	101	318
242	101	317
243	102	316
244	102	315
245	102	314
246	102	313
247	103	312
248	103	311
249	103	310
250	103	309
251	103	308
252	104	307
253	104	306
254	104	305
255	104	304
256	105	304
257	105	303
258	105	302
259	106	301
260	106	300
261	106	300
262	106	299
263	106	298
264	107	297
265	107	296
266	107	295
267	107	294
268	108	293
269	108	292
270	108	291
271	108	291
272	108	290
273	109	289
274	109	288
275	109	287
276	109	286
277	110	285
278	110	285
279	110	284
280	110	283
281	110	282
282	111	281
283	111	280
284	111	279
285	111	279
286	112	278
287	112	277
288	112	276
289	112	276
290	112	275
291	113	274
292	113	273
293	113	272
294	113	271
295	114	271
296	114	270
297	114	269
298	114	268
299	114	268
300	115	267
301	115	266
302	115	265
303	115	265
304	116	264
305	116	263
306	116	262
307	116	262
308	116	261
309	117	260
310	117	260
311	117	259
312	117	258
313	118	258
314	118	257
315	118	256
316	118	256
317	119	255
318	119	254
319	119	254
320	119	253
321	120	252
322	120	252
323	120	251
324	120	250
325	120	249
326	121	249
327	121	248
328	121	247
329	121	247
330	121	246
331	122	245
332	122	244
333	122	244
334	122	243
335	122	242
336	123	242
337	123	241
338	123	240
339	123	240
340	124	239
341	124	239
342	124	238
343	124	237
344	124	237
345	125	236
346	125	235
347	125	235
348	125	234
349	126	234
350	126	233
351	126	232
352	126	232
353	126	231
354	127	231
355	127	230
356	127	229
357	127	229
358	128	228
359	128	227
360	128	227
361	128	226
362	128	226
363	129	225
364	129	224
365	129	224
366	129	223
367	130	223
368	130	222
